# 強化学習モデル学習統計

学習日時: 2026年02月09日 08:18:13
学習エピソード数: 20000
最終平均報酬: -3746.49
Q-tableサイズ: 485 状態

## エピソードごとの報酬推移
エピソード 1: -2988.50
エピソード 10: -2771.50
エピソード 20: -3355.50
エピソード 30: -2996.50
エピソード 40: -3444.50
エピソード 50: -5629.50
エピソード 60: -4913.00
エピソード 70: -3990.00
エピソード 80: -3869.00
エピソード 90: -3997.50
エピソード 100: -4227.50
エピソード 110: -4917.50
エピソード 120: -5080.00
エピソード 130: -3720.50
エピソード 140: -4162.50
エピソード 150: -4755.00
エピソード 160: -1940.50
エピソード 170: -3430.50
エピソード 180: -3421.50
エピソード 190: -593.00
エピソード 200: -4324.00
エピソード 210: -3129.00
エピソード 220: -2488.50
エピソード 230: -3645.00
エピソード 240: -2115.50
エピソード 250: -5531.00
エピソード 260: -2572.50
エピソード 270: -2716.50
エピソード 280: -5799.00
エピソード 290: -2226.50
エピソード 300: -2810.00
エピソード 310: -3348.50
エピソード 320: -3478.50
エピソード 330: -4589.50
エピソード 340: -3825.50
エピソード 350: -3126.50
エピソード 360: -3908.00
エピソード 370: -4392.00
エピソード 380: -2539.50
エピソード 390: -2902.00
エピソード 400: -5351.50
エピソード 410: -3138.50
エピソード 420: -2247.00
エピソード 430: -2547.00
エピソード 440: -3909.50
エピソード 450: -4643.00
エピソード 460: -4184.50
エピソード 470: -5378.50
エピソード 480: -3353.50
エピソード 490: -5352.00
エピソード 500: -3382.50
エピソード 510: -3497.50
エピソード 520: -2058.50
エピソード 530: -5356.50
エピソード 540: -4351.00
エピソード 550: -5672.00
エピソード 560: -3751.00
エピソード 570: -4644.00
エピソード 580: -2430.50
エピソード 590: -2505.50
エピソード 600: -3586.50
エピソード 610: -3319.00
エピソード 620: -5533.50
エピソード 630: -2451.00
エピソード 640: -5013.00
エピソード 650: -3351.50
エピソード 660: -2674.50
エピソード 670: -2063.00
エピソード 680: -3773.00
エピソード 690: -3529.00
エピソード 700: -4010.50
エピソード 710: -3491.50
エピソード 720: -2976.00
エピソード 730: -3178.00
エピソード 740: -2794.50
エピソード 750: -3476.00
エピソード 760: -3229.00
エピソード 770: -2813.00
エピソード 780: -3183.00
エピソード 790: -5243.50
エピソード 800: -2063.00
エピソード 810: -3473.50
エピソード 820: -4691.00
エピソード 830: -3825.00
エピソード 840: -2724.50
エピソード 850: -4833.00
エピソード 860: -4849.00
エピソード 870: -3980.00
エピソード 880: -2978.00
エピソード 890: -2740.00
エピソード 900: -3282.50
エピソード 910: -4016.00
エピソード 920: -4014.00
エピソード 930: -5408.00
エピソード 940: -2178.00
エピソード 950: -2978.50
エピソード 960: -1277.50
エピソード 970: -2744.00
エピソード 980: -2720.50
エピソード 990: -5419.00
エピソード 1000: -5429.00
エピソード 1010: -2952.00
エピソード 1020: -5390.00
エピソード 1030: -4032.50
エピソード 1040: -2985.00
エピソード 1050: -3072.50
エピソード 1060: -3665.00
エピソード 1070: -3032.50
エピソード 1080: -3555.50
エピソード 1090: -5559.50
エピソード 1100: -4468.50
エピソード 1110: -3751.00
エピソード 1120: -4299.00
エピソード 1130: -2892.00
エピソード 1140: -3598.50
エピソード 1150: -5155.50
エピソード 1160: -4732.50
エピソード 1170: -3090.00
エピソード 1180: -3187.00
エピソード 1190: -2366.00
エピソード 1200: -3429.50
エピソード 1210: -3771.00
エピソード 1220: -5788.00
エピソード 1230: -2622.00
エピソード 1240: -3527.00
エピソード 1250: -2223.00
エピソード 1260: -3330.50
エピソード 1270: -2900.00
エピソード 1280: -2721.00
エピソード 1290: -4030.50
エピソード 1300: -5162.50
エピソード 1310: -4185.50
エピソード 1320: -3115.50
エピソード 1330: -4180.50
エピソード 1340: -5430.50
エピソード 1350: -3263.50
エピソード 1360: -3245.50
エピソード 1370: -4525.50
エピソード 1380: -5055.50
エピソード 1390: -1906.00
エピソード 1400: -3709.50
エピソード 1410: -3109.50
エピソード 1420: -5465.50
エピソード 1430: -2410.00
エピソード 1440: -2148.00
エピソード 1450: -1721.00
エピソード 1460: -2091.50
エピソード 1470: -2363.50
エピソード 1480: -4345.00
エピソード 1490: -2894.00
エピソード 1500: -3651.00
エピソード 1510: -4431.00
エピソード 1520: -2872.50
エピソード 1530: -4783.00
エピソード 1540: -2481.00
エピソード 1550: -3296.50
エピソード 1560: -4149.00
エピソード 1570: -5180.00
エピソード 1580: -3417.50
エピソード 1590: -2557.00
エピソード 1600: -3890.00
エピソード 1610: -3637.00
エピソード 1620: -2119.00
エピソード 1630: -1923.00
エピソード 1640: -5103.00
エピソード 1650: -2725.50
エピソード 1660: -5405.00
エピソード 1670: -3983.50
エピソード 1680: -4910.50
エピソード 1690: -2539.50
エピソード 1700: -2862.00
エピソード 1710: -2946.50
エピソード 1720: -3768.00
エピソード 1730: -5035.50
エピソード 1740: -4544.00
エピソード 1750: -5222.50
エピソード 1760: -4481.50
エピソード 1770: -3697.50
エピソード 1780: -2706.00
エピソード 1790: -2386.00
エピソード 1800: -4452.50
エピソード 1810: -4281.00
エピソード 1820: -5002.00
エピソード 1830: -3096.50
エピソード 1840: -5279.50
エピソード 1850: -2976.50
エピソード 1860: -4082.00
エピソード 1870: -2939.50
エピソード 1880: -3798.00
エピソード 1890: -5100.00
エピソード 1900: -2967.50
エピソード 1910: -3462.00
エピソード 1920: -4036.50
エピソード 1930: -3289.00
エピソード 1940: -3960.00
エピソード 1950: -3905.00
エピソード 1960: -4193.00
エピソード 1970: -3860.00
エピソード 1980: -2506.50
エピソード 1990: -3255.00
エピソード 2000: -1888.00
エピソード 2010: -5342.00
エピソード 2020: -4080.00
エピソード 2030: -4922.50
エピソード 2040: -3141.00
エピソード 2050: -3664.50
エピソード 2060: -3133.00
エピソード 2070: -2909.50
エピソード 2080: -3470.00
エピソード 2090: -2887.50
エピソード 2100: -4563.50
エピソード 2110: -2928.50
エピソード 2120: -2908.50
エピソード 2130: -3091.00
エピソード 2140: -3552.50
エピソード 2150: -2449.50
エピソード 2160: -3416.00
エピソード 2170: -3524.50
エピソード 2180: -2683.50
エピソード 2190: -4185.50
エピソード 2200: -5737.00
エピソード 2210: -3054.50
エピソード 2220: -3211.50
エピソード 2230: -1994.50
エピソード 2240: -5338.50
エピソード 2250: -4657.50
エピソード 2260: -5031.50
エピソード 2270: -5255.50
エピソード 2280: -2802.00
エピソード 2290: -5178.00
エピソード 2300: -4596.00
エピソード 2310: -2827.00
エピソード 2320: -3174.50
エピソード 2330: -3065.00
エピソード 2340: -5011.50
エピソード 2350: -2497.00
エピソード 2360: -3637.00
エピソード 2370: -5045.00
エピソード 2380: -3616.00
エピソード 2390: -2470.50
エピソード 2400: -4568.50
エピソード 2410: -4628.00
エピソード 2420: -5213.50
エピソード 2430: -4255.50
エピソード 2440: -4462.50
エピソード 2450: -2553.50
エピソード 2460: -2721.50
エピソード 2470: -2472.00
エピソード 2480: -2053.00
エピソード 2490: -5659.00
エピソード 2500: -4080.50
エピソード 2510: -1724.00
エピソード 2520: -5181.50
エピソード 2530: -5569.00
エピソード 2540: -5214.00
エピソード 2550: -3733.50
エピソード 2560: -2801.50
エピソード 2570: -2123.50
エピソード 2580: -4799.00
エピソード 2590: -5053.00
エピソード 2600: -3391.50
エピソード 2610: -4442.50
エピソード 2620: -4615.50
エピソード 2630: -5048.50
エピソード 2640: -4397.00
エピソード 2650: -4762.50
エピソード 2660: -3206.50
エピソード 2670: -4343.50
エピソード 2680: -3318.50
エピソード 2690: -2180.00
エピソード 2700: -2178.50
エピソード 2710: -3128.50
エピソード 2720: -4936.50
エピソード 2730: -3685.50
エピソード 2740: -3416.50
エピソード 2750: -5257.00
エピソード 2760: -3165.50
エピソード 2770: -5601.50
エピソード 2780: -4582.50
エピソード 2790: -3893.50
エピソード 2800: -5299.50
エピソード 2810: -2718.50
エピソード 2820: -1605.50
エピソード 2830: -4039.00
エピソード 2840: -3697.50
エピソード 2850: -3620.00
エピソード 2860: -3369.50
エピソード 2870: -3380.50
エピソード 2880: -2881.50
エピソード 2890: -2901.50
エピソード 2900: -4146.50
エピソード 2910: -5194.50
エピソード 2920: -4866.50
エピソード 2930: -5297.50
エピソード 2940: -4021.50
エピソード 2950: -3475.50
エピソード 2960: -2110.00
エピソード 2970: -3991.50
エピソード 2980: -5230.50
エピソード 2990: -4444.00
エピソード 3000: -5709.00
エピソード 3010: -3514.50
エピソード 3020: -5483.00
エピソード 3030: -5262.50
エピソード 3040: -3008.50
エピソード 3050: -3471.00
エピソード 3060: -3995.00
エピソード 3070: -3726.50
エピソード 3080: -3343.50
エピソード 3090: -3050.00
エピソード 3100: -4383.50
エピソード 3110: -5403.00
エピソード 3120: -3952.00
エピソード 3130: -3275.50
エピソード 3140: -3489.50
エピソード 3150: -2792.50
エピソード 3160: -4661.50
エピソード 3170: -3362.00
エピソード 3180: -4729.00
エピソード 3190: -4569.00
エピソード 3200: -4833.50
エピソード 3210: -3659.50
エピソード 3220: -3187.00
エピソード 3230: -4691.00
エピソード 3240: -3798.50
エピソード 3250: -2979.00
エピソード 3260: -3996.50
エピソード 3270: -3571.50
エピソード 3280: -1489.50
エピソード 3290: -5294.00
エピソード 3300: -2850.00
エピソード 3310: -3430.50
エピソード 3320: -3665.50
エピソード 3330: -1944.00
エピソード 3340: -2747.00
エピソード 3350: -5152.50
エピソード 3360: -2464.00
エピソード 3370: -2650.00
エピソード 3380: -5102.50
エピソード 3390: -5297.00
エピソード 3400: -4937.50
エピソード 3410: -2887.50
エピソード 3420: -3191.50
エピソード 3430: -3560.00
エピソード 3440: -4042.50
エピソード 3450: -3507.00
エピソード 3460: -4106.50
エピソード 3470: -2552.50
エピソード 3480: -2581.00
エピソード 3490: -2980.50
エピソード 3500: -4878.00
エピソード 3510: -3224.00
エピソード 3520: -3956.50
エピソード 3530: -4210.50
エピソード 3540: -5170.00
エピソード 3550: -3462.00
エピソード 3560: -2572.50
